step,quantile3_flops,quantile9_flops,quantile27_flops,quantile81_flops,our_model_flops
321,56277504,93795840,206350848,544015872,506138112
322,56422656,94037760,206883072,545419008,507942144
323,56609280,94348800,207567360,547223040,509746176
324,56775168,94625280,208175616,548826624,511750656
325,56961792,94936320,208859904,550630656,512510976
326,57148416,95247360,209544192,552434688,514515456
327,57314304,95523840,210152448,554038272,516519936
328,57480192,95800320,210760704,555641856,518524416
329,57646080,96076800,211368960,557245440,519284736
330,57811968,96353280,211977216,558849024,521088768
331,57977856,96629760,212585472,560452608,522892800
332,58164480,96940800,213269760,562256640,524897280
333,58330368,97217280,213878016,563860224,526901760
334,58516992,97528320,214562304,565664256,528906240
335,58724352,97873920,215322624,567668736,529666560
336,58890240,98150400,215930880,569272320,531671040
337,59076864,98461440,216615168,571076352,533675520
338,59263488,98772480,217299456,572880384,535479552
339,59429376,99048960,217907712,574483968,536163840
340,59595264,99325440,218515968,576087552,537967872
341,59781888,99636480,219200256,577891584,539771904
342,59968512,99947520,219884544,579695616,541575936
343,60155136,100258560,220568832,581499648,542260224
344,60341760,100569600,221253120,583303680,544064256
345,60507648,100846080,221861376,584907264,545868288
346,60694272,101157120,222545664,586711296,547672320
347,60880896,101468160,223229952,588515328,549275904
348,61067520,101779200,223914240,590319360,551280384
349,61233408,102055680,224522496,591922944,551964672
350,61440768,102401280,225282816,593927424,552648960
351,61627392,102712320,225967104,595731456,554452992
352,61814016,103023360,226651392,597535488,556257024
353,62000640,103334400,227335680,599339520,558061056
354,62187264,103645440,228019968,601143552,559865088
355,62373888,103956480,228704256,602947584,561669120
356,62539776,104232960,229312512,604551168,563473152
357,62726400,104544000,229996800,606355200,564157440
358,62892288,104820480,230605056,607958784,565961472
359,63078912,105131520,231289344,609762816,567765504
360,63244800,105408000,231897600,611366400,569569536
361,63389952,105649920,232429824,612769536,571373568
362,63555840,105926400,233038080,614373120,573177600
363,63742464,106237440,233722368,616177152,574981632
364,63887616,106479360,234254592,617580288,577186560
365,64053504,106755840,234862848,619183872,578990592
366,64219392,107032320,235471104,620787456,580794624
367,64406016,107343360,236155392,622591488,582598656
368,64592640,107654400,236839680,624395520,584803584
369,64779264,107965440,237523968,626199552,586407168
370,64986624,108311040,238284288,628204032,587395584
371,65131776,108552960,238816512,629607168,589199616
372,65318400,108864000,239500800,631411200,591204096
373,65525760,109209600,240261120,633415680,593008128
374,65712384,109520640,240945408,635219712,594812160
375,65899008,109831680,241629696,637023744,596616192
376,66085632,110142720,242313984,638827776,598420224
377,66251520,110419200,242922240,640431360,600625152
378,66458880,110764800,243682560,642435840,601309440
379,66645504,111075840,244366848,644239872,603113472
380,66832128,111386880,245051136,646043904,605117952
381,66998016,111663360,245659392,647647488,607122432
382,67163904,111939840,246267648,649251072,607882752
383,67329792,112216320,246875904,650854656,609887232
384,67537152,112561920,247636224,652859136,611891712
385,67744512,112907520,248396544,654863616,613896192
